Place_Id,Place_Name,Description,Category,City,Link_Image,Cleaned
11,Pulau Bidadari,"Pulau Bidadari merupakan salah satu resor di Kabupaten Kepulauan Seribu, Jakarta. Sebelum bernama Pulau Bidadari, pulau ini memiliki dua nama yaitu Pulau Sakit dan Pulau Purmerend",Bahari,Jakarta,https://mawatu.co.id/wp-content/uploads/2024/03/bidadari-23-07-03_14-16-02-258-1740867580.webp,pulau bidadari salah resor kabupaten kepulauan seribu jakarta bernama pulau bidadari pulau memiliki nama pulau sakit pulau purmerend
12,Pulau Pari,"Pulau Pari adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia.
",Bahari,Jakarta,https://expeditionnusantara.com/wp-content/uploads/2023/09/Pantai-Pasir-Perawan.jpg,pulau pari pulau terletak kepulauan seribu daerah khusus ibukota jakarta indonesia
13,Pulau Pramuka,Pulau Pramuka merupakan salah satu pulau yang berada dalam gugusan Kepulauan Seribu. Pulau ini merupakan pusat administrasi dan pemerintahan Kabupaten Administrasi Kepulauan Seribu. Pulau Pramuka termasuk ke dalam wilayah Kelurahan Pulau Panggang.,Bahari,Jakarta,https://storage.jakarta-tourism.go.id/public/articles/bc37bb5b-9313-4433-b1f6-d8351cc772d2.jpg,pulau pramuka salah pulau gugusan kepulauan seribu pulau pusat administrasi pemerintahan kabupaten administrasi kepulauan seribu pulau pramuka wilayah kelurahan pulau panggang
14,Pulau Pelangi,"Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia. Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia, Pulau Pelangi / biasa disebut Pulau Petondan Besar ( Pelangi Island ) merupakan pulau resort yang sesuai untuk berlibur. Pulau Resort ini mempunyai konsep natural, karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata, Keindahan alam dan lautnya layak untuk dikunjungi. Dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman. Kondisi yang ideal untuk wisata bersama keluarga. Dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlama-lama di Pulau Pelangi.\nMenurut informasi, Pulau Pelangi atau Pulau Petondan Besar merupakan pulau yang berada pada gugusan Kepulauan Seribu. Secara administratif termasuk dalam wilayah Kabupaten Administratif Kepulauan Seribu provinsi DKI Jakarta. Bersamaan dengan Pulau Petondan Kecil merupakan sebuah resort berlibur. Letaknya berdekatan dengan gugusan yang sama dengan Pulau Kelor dan Pulau Kelapa.\nUntuk mencapai Pelangi Resort dibutuhkan waktu 90 menit perjalanan dari dermaga Pantai Mutiara. Terdapat kapal speedboat khusus di pier R1 Pantai Mutiara yang membawa penumpang kesana. Letaknya 60 – 70 km dari Pantai Mutiara memang lumayan jauh. Namun perjalanan anda terbayar lunas begitu sampai di Pulau Pelangi.
",Bahari,Jakarta,https://visitpulauseribu.com/wp-content/uploads/2022/07/view-pelangi.jpg,pulau pelangi pulau terletak kepulauan seribu daerah khusus ibukota jakarta indonesia pulau pelangi pulau terletak kepulauan seribu daerah khusus ibukota jakarta indonesia pulau pelangi pulau petondan pelangi island pulau resort sesuai berlibur pulau resort konsep natural wilayahnya penuhi rerimbunan pohon menyejukan mata keindahan alam lautnya layak dikunjungi dikelilingi rimbunan pohon laut berwarana biru jernih suasanan sejuk nyaman kondisi ideal wisata keluarga akomodasi langsung menghadap laut turis betah berlamalama pulau pelanginmenurut informasi pulau pelangi pulau petondan pulau gugusan kepulauan seribu administratif wilayah kabupaten administratif kepulauan seribu provinsi dki jakarta bersamaan pulau petondan resort berlibur letaknya berdekatan gugusan pulau kelor pulau kelapanuntuk mencapai pelangi resort dibutuhkan 90 menit perjalanan dermaga pantai mutiara kapal speedboat khusus pier r1 pantai mutiara membawa penumpang kesana letaknya 60 70 km pantai mutiara lumayan perjalanan terbayar lunas pulau pelangi
15,Pasar Seni,"Pasar Seni merupakan Pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki. Seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki. Didirikan awal tahun 1977, dengan peletakan batu pertama oleh Bang Ali Sadikin, Gubernur pertama DKI Jakarta, tepatnya pada bulan Juli 1977. Dan diresmikan oleh Gubernur H. Tjokropanolo pada tanggal 17 Desember 1977. Sejak diresmikan Pasar Seni, mendapat sambutan positif bagi pada pecinta seni yang ada.",Pusat Perbelanjaan,Jakarta,https://blog-images.reddoorz.com/uploads/image/file/154/pasar-seni-ubud.jpg,pasar seni pusat kerajinan kesenian wadah seniman berbakat menyalurkan kerajinan seni miliki seniman bertemu kolektor seni pengusaha berbagi informasi memasarkan produk dimiliki didirikan 1977 peletakan batu bang ali sadikin gubernur dki jakarta tepatnya juli 1977 diresmikan gubernur h tjokropanolo tanggal 17 desember 1977 diresmikan pasar seni sambutan positif pecinta seni
16,Jembatan Kota Intan,"Jembatan Kota Intan adalah jembatan tertua di Indonesia yang dibangun pada tahun 1628 oleh pemerintah Vereenigde Oostindische Compagnie atau VOC, atau masyarakat kita lebih familiar dengan sebutan Kumpeni. Jembatan itu kini terletak di Kali Besar kawasan Kota Tua wilayah Jakarta Barat dan berada di bawah pengelolaan Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta.",Budaya,Jakarta,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/683/2024/01/01/WhatsApp-Image-2024-01-01-at-105219-403302303.jpeg,jembatan kota intan jembatan tertua indonesia dibangun 1628 pemerintah vereenigde oostindische compagnie voc masyarakat familiar sebutan kumpeni jembatan terletak kali kawasan kota tua wilayah jakarta barat pengelolaan dinas pariwisata kebudayaan provinsi dki jakarta
17,Museum Fatahillah,"Museum Fatahillah memiliki nama resmi Museum Sejarah Jakarta adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 1, Jakarta Barat dengan luas lebih dari 1.300 meter persegi.\nBangunan ini dahulu merupakan balai kota Batavia (bahasa Belanda: Stadhuis van Batavia) yang dibangun pada tahun 1707-1710 atas perintah Gubernur-Jendral Joan van Hoorn. Bangunan ini menyerupai Istana Dam di Amsterdam, terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor, ruang pengadilan, dan ruang-ruang bawah tanah yang dipakai sebagai penjara. Pada tanggal 30 Maret 1974, bangunan ini kemudian diresmikan oleh bapak Ali Sadikin sebagai Museum Sejarah Jakarta.",Budaya,Jakarta,https://museum.co.id/wp-content/uploads/2020/09/mft-hd-3.jpg,museum fatahillah memiliki nama resmi museum sejarah jakarta museum terletak jalan taman fatahillah no 1 jakarta barat luas 1300 meter perseginbangunan balai kota batavia bahasa belanda stadhuis van batavia dibangun 17071710 perintah gubernurjendral joan van hoorn bangunan menyerupai istana dam amsterdam bangunan utama sayap timur barat bangunan sanding kantor ruang pengadilan ruangruang tanah dipakai penjara tanggal 30 maret 1974 bangunan diresmikan ali sadikin museum sejarah jakarta
18,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",Budaya,Jakarta,https://upload.wikimedia.org/wikipedia/commons/f/f4/Museum_Fatahilah_%28Museum_Sejarah_Jakarta%29.jpg,museum bank indonesia museum jakarta indonesia terletak jl pintu utara no3 jakarta barat stasiun beos kota menempati area bekas gedung bank indonesia kota cagar budaya peninggalan de javasche bank beraliran neoklasikal dipadu pengaruh lokal dibangun kali 1828npada 1625 dibangun gereja sederhana umat protestan 1628 gereja dibongkar meriam puluhan ribu tentara sultan agung menyerang batavia kalimuseum menyajikan informasi peran bank indonesia perjalanan sejarah bangsa kedatangan bangsa barat nusantara terbentuknya bank indonesia 1953 kebijakankebijakan bank indonesia meliputi latar dampak kebijakan bank indonesia masyarakat 2005 penyajiannya dikemas rupa memanfaatkan teknologi modern multi media display elektronik panel statik televisi plasma diorama menciptakan kenyamanan pengunjung menikmati museum bank indonesia fakta koleksi benda bersejarah terbentuknya bank indonesia kerajaankerajaan nusantara koleksi uang numismatik ditampilkan menariknperesmian museum bank indonesia tahap peresmian tahap i dibuka masyarakat soft opening tanggal 15 desember 2006 gubernur bank indonesia burhanuddin abdullah peresmian tahap ii grand opening presiden ri susilo bambang yudhoyono tanggal 21 juli 2009nmuseum bank indonesia buka kecuali senin libur nasional
19,Kidzania,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",Taman Hiburan,Jakarta,https://static.promediateknologi.id/crop/0x0:1200x957/0x0/webp/photo/p2/11/2025/01/29/Kota-Mini-di-Kidzania-Jakarta-40927854.jpg,kidzania waralaba swasta meksiko pusat hiburan keluarga beroperasi 23 lokasi anakanak pekerjaan orang dewasa bayaran kidzania dikunjungi 31 juta pengunjung dunia pembukaannya menjadikannya salah merek hiburan global cepat berkembang dunia
20,Museum Taman Prasasti,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda yang berada di Jalan Tanah Abang No. 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum seluas 1,2 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu.
",Budaya,Jakarta,https://upload.wikimedia.org/wikipedia/commons/8/8d/Tombstones_taman_prasasti.jpg,museum taman prasasti museum cagar budaya peninggalan kolonial belanda jalan tanah abang no 1 jakarta pusat museum memiliki koleksi prasasti nisan kuno miniatur makam khas 27 provinsi indonesia beserta koleksi kereta jenazah antik museum seluas 12 ha museum terbuka menampilkan karya seni lampau kecanggihan pematung pemahat kaligrafer sastrawan menyatu
21,Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",Budaya,Jakarta,https://skycitytrans.com/wp-content/uploads/2024/05/Lokasi-Jam-Operasional-dan-Harga-Tiket-Museum-Wayang-Jakarta.webp,museum wayang museum berlokasi jalan pintu utara nomor 27 jakarta barat
22,Masjid Istiqlal,"Masjid Istiqlal (arti harfiah: Masjid Merdeka) adalah masjid nasional negara Republik Indonesia yang terletak di bekas Taman Wilhelmina, di Timur Laut Lapangan Medan Merdeka yang di tengahnya berdiri Monumen Nasional (Monas), di pusat ibukota Jakarta. Masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200.000 jamaah. Di seberang Timur masjid ini berdiri Gereja Katedral Jakarta. Ketua Harian Badan Pengelola Masjid Istiqlal (BPMI) sekaligus Imam Besar Masjid Istiqlal adalah Prof. Dr. Nasaruddin Umar, M.A. Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Ir. Soekarno. Peletakan batu pertama sebagai tanda dimulainya pembangunan Masjid Istiqlal dilakukan oleh Ir. Soekarno pada tanggal 24 Agustus 1961. Arsitek Masjid Istiqlal adalah Frederich Silaban, seorang Nasrani.Masjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Menara tunggal setinggi total 96,66 meter menjulang di sudut Selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 jamaah.Selain digunakan sebagai aktivitas ibadah umat Islam, masjid ini juga digunakan sebagai kantor berbagai organisasi Islam di Indonesia, aktivitas sosial, dan kegiatan umum. Masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di Jakarta. Kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama Islam. Masyarakat non-Muslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai Islam dan Masjid Istiqlal, meskipun bagian yang boleh dikunjungi kaum non-Muslim terbatas dan harus didampingi pemandu.\nPada tiap hari besar Islam seperti Ramadhan, Idul Fitri, Idul Adha, Tahun Baru Hijriyah, Maulid Nabi Muhammad serta Isra dan Mi'raj, Presiden Republik Indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional (TVRI) dan sebagian televisi swasta.",Tempat Ibadah,Jakarta,https://img.okezone.com/content/2021/06/18/615/2427318/5-keistimewaan-masjid-istiqlal-pintu-gerbang-bermakna-7-lapis-langit-pkHpRCcjDu.jpg,masjid istiqlal arti harfiah masjid merdeka masjid nasional negara republik indonesia terletak bekas taman wilhelmina timur laut lapangan medan merdeka tengahnya berdiri monumen nasional monas pusat ibukota jakarta masjid salah 10 masjid terbesar kapasitasnya dunia menampung 200000 jamaah seberang timur masjid berdiri gereja katedral jakarta ketua harian badan pengelola masjid istiqlal bpmi imam masjid istiqlal prof dr nasaruddin umar ma pembangunan masjid diprakarsai presiden republik indonesia ir soekarno peletakan batu tanda pembangunan masjid istiqlal ir soekarno tanggal 24 agustus 1961 arsitek masjid istiqlal frederich silaban nasranimasjid memiliki gaya arsitektur modern dinding lantai berlapis marmer dihiasi ornamen geometrik baja antikarat bangunan utama masjid lantai lantai dasar bangunan utama dimahkotai kubah berdiameter 45 meter ditopang 12 tiang menara tunggal total 9666 meter menjulang sudut selatan selasar masjid masjid menampung 200000 jamaahselain aktivitas ibadah umat islam masjid kantor organisasi islam indonesia aktivitas sosial kegiatan masjid salah daya tarik wisata terkenal jakarta kebanyakan wisatawan berkunjung wisatawan domestik samping wisatawan asing beragama islam masyarakat nonmuslim berkunjung masjid pembekalan informasi islam masjid istiqlal dikunjungi kaum nonmuslim terbatas didampingi pemandunpada islam ramadhan idul fitri idul adha hijriyah maulid nabi muhammad isra miraj presiden republik indonesia mengadakan kegiatan keagamaan masjid disiarkan langsung televisi nasional tvri televisi swasta
23,Gereja Katedral,"Gereja Katedral Jakarta, atau bernama resmi Gereja Santa Maria Diangkat Ke Surga (bahasa Jerman: De Kerk van Onze Lieve Vrouwe ten Hemelopneming; bahasa Inggris: The Church of Our Lady of the Assumption) adalah sebuah gereja di Jakarta. Gedung gereja ini diresmikan pada 1901 dan dibangun dengan arsitektur neo-gotik dari Eropa, yakni arsitektur yang sangat lazim digunakan untuk membangun gedung gereja beberapa abad yang lalu.",Tempat Ibadah,Jakarta,https://media.suara.com/pictures/653x366/2020/12/23/72803-gereja-katedral.jpg,gereja katedral jakarta bernama resmi gereja santa maria diangkat surga bahasa jerman de kerk van onze lieve vrouwe ten hemelopneming bahasa inggris the church of our lady of the assumption gereja jakarta gedung gereja diresmikan 1901 dibangun arsitektur neogotik eropa arsitektur lazim membangun gedung gereja abad
24,Museum Nasional,"Museum Nasional Republik Indonesia atau Museum Gajah, adalah sebuah museum arkeologi, sejarah, etnografi, dan geografi yang terletak di Jakarta Pusat dan persisnya di Jalan Merdeka Barat 12. Museum ini merupakan museum pertama dan terbesar di Asia Tenggara.",Budaya,Jakarta,https://lp-cms-production.imgix.net/2019-06/d884051dce68d8e1dec12bf7c490f8eb-museum-nasional.jpg?w=1920&h=640&fit=crop&crop=faces%2Cedges&auto=format&q=75,museum nasional republik indonesia museum gajah museum arkeologi sejarah etnografi geografi terletak jakarta pusat persisnya jalan merdeka barat 12 museum museum terbesar asia tenggara
